Name;General cross section;Diameter;Weight;Coefficient of linear expansion;Modulus of elasticity of the material;Permissible voltage (maximum load);Permissible voltage (avg annual temp)
АС-10;12,37;4,5;42,7;19,2;8250;12;9
АС-16;18,69;5,6;64,9;19,2;8250;12;9
АС-25;29,05;6,9;100,3;19,2;8250;12;9
АС-35;43,05;8,4;148;19,2;8250;12;9
АС-50;56,24;9,6;195;19,2;8250;12;9
АС-70/11;79,3;11,4;276;19,2;8250;12;9
АС-70/72;140,6;15,4;755;14,5;13400;27,2;20,4
АС-95/16;111,3;13,5;385;19,2;8250;12;9
АС-95/141;232,2;19,8;1357;14,5;13400;30,8;23,1
АС-120/19;136,8;15,2;471;19,2;8250;13,5;9
АС-120/27;140,6;15,4;528;18,3;8900;15,3;10,2
АС-150/19;166,8;16,8;554;19,8;7700;12,6;8,4
АС-150/24;173,2;17,1;599;19,2;8250;13,5;9
АС-150/34;181,3;17,5;675;18,3;8900;15,3;10,2
АС-185/24;211,2;18,9;705;19,8;7700;12,6;8,4
АС-185/29;210;18,8;728;19,2;8250;13,5;9
АС-185/43;228,1;19,6;846;18,3;8900;15,3;10,2
АС-185/128;315;23,1;1525;15,5;11400;25,4;16,9
АС-240/32;275,7;21,6;921;19,8;7700;12,6;8,4
АС-240/39;274,6;21,6;952;19,2;8250;13,5;9
АС-240/56;297,3;22,4;1106;18,3;8900;15,3;10,2
АС-300/39;339,6;24;1132;19,8;7700;12,6;8,4
АС-300/48;342,8;24,1;1186;19,2;8250;13,5;9
АС-300/66;344;24,5;1313;18,3;8900;15,3;10,2
АС-300/67;355,8;24,5;1323;18,3;8900;15,3;10,2
АС-300/204;502;29,2;2428;15,5;11400;25,4;16,9
АС-400/27,7;427,7;26,91;1319,7;21,2;7040;11,7;7,8
АС-400/51,9;451,9;27,64;1509,7;19,8;7700;12,6;8,4
АС-400/18;399,8;26;1199;21,5;7040;11,7;7,8
АС-400/22;416;26,6;1261;21,2;7040;11,7;7,8
АС-400/51;445,1;27,5;1490;19,8;7700;12,6;8,4
АС-400/64;453,5;27,7;1572;19,2;8250;13,5;9
АС-400/93;499,2;29,1;1851;18,3;8900;15,3;10,2
